file,spell,amount,n
siax_uw_dw_092326.txt,Charge,9.0,34
siax_uw_dw_092326.txt,Unbridled Wrath,1.0,121
siax_uw_dw_092326.txt,Unbridled Wrath,0.0,76
siax_uw_dw_092326.txt,Charge,4.1,1
siax_uw_dw_092326.txt,Charge,5.8,1
ryqenz_zomdaya_uw_dw_092326.txt,Bloodrage,10.0,29
ryqenz_zomdaya_uw_dw_092326.txt,Bloodrage,1.0,290
ryqenz_zomdaya_uw_dw_092326.txt,Unbridled Wrath,1.0,273
ryqenz_zomdaya_uw_dw_092326.txt,Charge,9.0,42
ryqenz_zomdaya_uw_dw_092326.txt,Unbridled Wrath,0.0,2
ryqenz_zomdaya_uw_2h_092326.txt,Charge,9.0,34
ryqenz_zomdaya_uw_2h_092326.txt,Unbridled Wrath,2.0,49
ryqenz_zomdaya_uw_2h_092326.txt,Bloodrage,10.0,5
ryqenz_zomdaya_uw_2h_092326.txt,Bloodrage,1.0,50
ryqenz_zomdaya_uw_2h_092326.txt,Unbridled Wrath,0.2,1
ryqenz_zomdaya_uw_2h_092326.txt,Unbridled Wrath,0.0,87
ryqenz_zomdaya_uw_2h_092326.txt,Bloodrage,0.0,3
ryqenz_zomdaya_uw_2h_092326.txt,Charge,0.0,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,5.1,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,1.0,1
ryqenz_zomdaya_uw_2h_092326.txt,Unbridled Wrath,1.7,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,4.7,2
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.4,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,5.0,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,4.1,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,1.9,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,4.5,2
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.0,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.6,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.9,2
ryqenz_zomdaya_uw_2h_092326.txt,Charge,5.8,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,6.7,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,1.5,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.5,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,4.2,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,3.3,1
ryqenz_zomdaya_uw_2h_092326.txt,Unbridled Wrath,0.5,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,2.8,4
ryqenz_zomdaya_uw_2h_092326.txt,Charge,3.8,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,0.3,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,5.3,1
ryqenz_zomdaya_uw_2h_092326.txt,Charge,3.4,1
tarch_uw1_dw_092326.txt,Charge,9.0,10
tarch_uw1_dw_092326.txt,Unbridled Wrath,1.0,10
tarch_uw1_dw_092326.txt,Bloodrage,10.0,2
tarch_uw1_dw_092326.txt,Bloodrage,1.0,20
tarch_uw1_2h_092326.txt,Charge,9.0,14
tarch_uw1_2h_092326.txt,Bloodrage,10.0,4
tarch_uw1_2h_092326.txt,Bloodrage,1.0,40
tarch_uw1_2h_092326.txt,Unbridled Wrath,2.0,9
tarch_uw2_dw_092326.txt,Charge,9.0,13
tarch_uw2_dw_092326.txt,Unbridled Wrath,1.0,29
tarch_uw2_2h_092326.txt,Charge,9.0,14
tarch_uw2_2h_092326.txt,Bloodrage,10.0,1
tarch_uw2_2h_092326.txt,Bloodrage,1.0,10
tarch_uw2_2h_092326.txt,Unbridled Wrath,2.0,12
tarch_uw3_dw_092326.txt,Charge,9.0,13
tarch_uw3_dw_092326.txt,Unbridled Wrath,1.0,47
tarch_uw3_dw_092326.txt,Bloodrage,10.0,4
tarch_uw3_dw_092326.txt,Bloodrage,1.0,40
tarch_uw3_2h_092326.txt,Charge,9.0,16
tarch_uw3_2h_092326.txt,Bloodrage,10.0,2
tarch_uw3_2h_092326.txt,Bloodrage,1.0,20
tarch_uw3_2h_092326.txt,Unbridled Wrath,2.0,23
